	GRO-03_biopsy	GRO-10_biopsy	GRO-08_biopsy	D372_Biop_Int2	GRO-06_biopsy	D326_Biop_Pro1	GRO-09_biopsy	D367_Biop_Pro1	D372_Biop_Pro1	D353_Biop_Pro1	D339_Biop_Int1	D354_Biop_Int2	GRO-04_biopsy	GRO-07_biopsy
TSPAN6	4086.0	4533.0	2698.0	876.0	4767.0	1429.0	4248.0	1345.0	1934.0	795.0	1102.0	772.0	4119.0	5918.0
TNMD	3.0	4.0	2.0	2.0	6.0	1.0	5.0	4.0	4.0	2.0	0.0	1.0	4.0	7.0
DPM1	3291.0	3019.0	2022.0	655.0	2544.0	1402.0	3339.0	1583.0	2110.0	458.0	1112.0	347.0	3049.0	2722.0
SCYL3	314.0	376.0	294.0	65.0	469.0	198.0	441.0	204.0	265.0	46.0	110.0	44.0	280.0	446.0
C1orf112	106.0	73.0	65.0	43.0	63.0	31.0	162.0	48.0	59.0	14.0	40.0	23.0	51.0	103.0
FGR	86.0	156.0	195.0	23.0	249.0	25.0	496.0	18.0	16.0	9.0	15.0	9.0	57.0	269.0
CFH	5914.0	3873.0	3021.0	1733.0	3619.0	1481.0	6271.0	1763.0	3073.0	1072.0	901.0	919.0	1978.0	3583.0
FUCA2	766.0	729.0	495.0	285.0	799.0	286.0	1404.0	255.0	367.0	78.0	294.0	136.0	713.0	879.0
GCLC	4739.0	2631.0	1808.0	324.0	4445.0	582.0	2524.0	736.0	828.0	264.0	401.0	232.0	1761.0	4716.0
NFYA	212.0	201.0	200.0	6.0	255.0	56.0	332.0	44.0	54.0	32.0	56.0	24.0	183.0	285.0
STPG1	409.0	606.0	598.0	145.0	885.0	229.0	527.0	109.0	207.0	77.0	60.0	89.0	485.0	1168.0
NIPAL3	1314.0	970.0	783.0	258.0	1381.0	658.0	1921.0	517.0	704.0	96.0	167.0	170.0	689.0	1491.0
LAS1L	1221.0	722.0	628.0	405.0	778.0	411.0	1401.0	414.0	857.0	222.0	160.0	291.0	687.0	897.0
ENPP4	610.0	1140.0	957.0	85.0	1394.0	151.0	641.0	170.0	130.0	129.0	97.0	74.0	648.0	1552.0
SEMA3F	302.0	382.0	268.0	109.0	598.0	190.0	561.0	225.0	252.0	63.0	90.0	94.0	204.0	392.0
CFTR	671.0	245.0	343.0	32.0	718.0	111.0	522.0	87.0	76.0	36.0	49.0	71.0	226.0	572.0
ANKIB1	1519.0	1297.0	1033.0	127.0	1841.0	367.0	1891.0	302.0	303.0	120.0	171.0	70.0	684.0	1834.0
CYP51A1	323.0	128.0	210.0	15.0	254.0	49.0	84.0	21.0	9.0	15.0	4.0	42.0	109.0	136.0
KRIT1	1843.0	1759.0	1336.0	387.0	2233.0	783.0	2442.0	340.0	793.0	178.0	152.0	152.0	1366.0	2635.0
RAD52	125.0	122.0	100.0	0.0	135.0	3.0	119.0	40.0	0.0	4.0	10.0	18.0	34.0	153.0
BAD	3398.0	2270.0	1492.0	712.0	1537.0	1129.0	4118.0	883.0	1719.0	489.0	640.0	330.0	2406.0	2549.0
