	SC182	GRO-09_nasal_brush	D353_Brus_Nas1	SC173	D363_Brus_Nas1	SC184	SC174_SC173	SC174_SC172	GRO-04_nasal_brush	SC183	SC181	SC185
TSPAN6	5848.0	9928.0	4574.0	2422.0	2283.0	4410.0	1246.0	1599.0	9902.0	4079.0	1506.0	1120.0
TNMD	1.0	2.0	1.0	0.0	0.0	2.0	0.0	0.0	4.0	2.0	0.0	0.0
DPM1	755.0	2708.0	1368.0	403.0	984.0	649.0	219.0	234.0	2629.0	659.0	305.0	119.0
SCYL3	812.0	753.0	780.0	335.0	518.0	345.0	144.0	194.0	511.0	437.0	155.0	116.0
C1orf112	191.0	105.0	65.0	120.0	51.0	117.0	65.0	109.0	88.0	551.0	60.0	47.0
FGR	21.0	13.0	40.0	1.0	6.0	2.0	1.0	7.0	6.0	7.0	188.0	1.0
CFH	4278.0	5958.0	2238.0	1563.0	1285.0	2492.0	748.0	941.0	2053.0	3434.0	1196.0	530.0
FUCA2	1976.0	1383.0	1082.0	971.0	827.0	1538.0	542.0	696.0	1395.0	1034.0	680.0	298.0
GCLC	8307.0	3152.0	3443.0	2541.0	2806.0	2317.0	1186.0	994.0	3644.0	2044.0	1415.0	714.0
NFYA	221.0	238.0	394.0	113.0	175.0	162.0	51.0	53.0	149.0	128.0	49.0	30.0
STPG1	422.0	780.0	475.0	144.0	225.0	309.0	68.0	58.0	798.0	160.0	71.0	56.0
NIPAL3	1453.0	1886.0	2652.0	949.0	1703.0	752.0	452.0	471.0	1077.0	659.0	306.0	215.0
LAS1L	2087.0	1270.0	456.0	398.0	362.0	793.0	178.0	229.0	812.0	1214.0	530.0	220.0
ENPP4	2569.0	2255.0	1861.0	566.0	940.0	1660.0	270.0	628.0	1365.0	708.0	823.0	273.0
SEMA3F	668.0	431.0	960.0	257.0	499.0	748.0	99.0	117.0	189.0	760.0	219.0	91.0
CFTR	282.0	478.0	189.0	104.0	89.0	338.0	46.0	69.0	115.0	95.0	80.0	47.0
ANKIB1	1127.0	2286.0	1621.0	581.0	973.0	794.0	275.0	300.0	992.0	511.0	247.0	169.0
CYP51A1	1055.0	127.0	24.0	289.0	16.0	570.0	167.0	190.0	93.0	597.0	396.0	127.0
KRIT1	1267.0	2461.0	1235.0	600.0	717.0	670.0	280.0	298.0	1447.0	785.0	308.0	125.0
RAD52	88.0	82.0	17.0	20.0	42.0	51.0	14.0	22.0	27.0	42.0	12.0	7.0
BAD	2082.0	3806.0	3269.0	1559.0	2630.0	1574.0	752.0	781.0	4228.0	1244.0	651.0	263.0
LAP3	3952.0	11467.0	2204.0	1387.0	1577.0	2634.0	776.0	883.0	4222.0	2253.0	1722.0	648.0
CD99	4481.0	2698.0	1888.0	3882.0	1727.0	2378.0	2186.0	1967.0	4302.0	2408.0	2247.0	561.0
HS3ST1	4165.0	5676.0	5373.0	2119.0	2686.0	2442.0	1081.0	2770.0	1803.0	2615.0	4120.0	436.0
AOC1	71.0	5.0	11.0	12.0	1.0	4.0	1.0	5.0	13.0	6.0	1.0	14.0
WNT16	1.0	1.0	0.0	1.0	0.0	5.0	0.0	0.0	0.0	2.0	2.0	2.0
HECW1	1.0	3.0	15.0	0.0	9.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
MAD1L1	618.0	350.0	230.0	297.0	241.0	350.0	150.0	180.0	314.0	562.0	247.0	80.0
LASP1	1895.0	2145.0	3801.0	929.0	2369.0	1278.0	355.0	546.0	1636.0	1032.0	693.0	171.0
SNX11	202.0	362.0	383.0	178.0	239.0	135.0	80.0	74.0	266.0	142.0	85.0	50.0
TMEM176A	104.0	41.0	26.0	14.0	2.0	67.0	15.0	70.0	19.0	8.0	388.0	25.0
